"Name"	"Group"	"Cluster"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Vancouver/Seattle Study Critiques"	"0"	"0"
"Waco dates - are these coincidental?"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Gun Nuts and Holly Silva"	"0"	"1"
"Re: ATF suspects drug lab in compound"	"0"	"0"
"PUBLIC HEARINGS on Ballot Access, Vote Fraud and Other Issues"	"0"	"7"
"PUBLIC HEARINGS on Ballot Access, Vote Fraud and Other Issues"	"0"	"7"
"Celebrate Liberty!  1993"	"0"	"7"
"Re: Threatening Gun Owners"	"0"	"0"
"Re: I believe in gun control."	"0"	"1"
"Re: Lavishly Funded ""Gun Epidemic"" Propaganda Campaign to Commence"	"0"	"0"
"Re: Govs. Florio, Wilder Hit Airwaves In Support of Brady Bill"	"0"	"1"
"Re: Waco dates - are these coincidental?"	"0"	"0"
"Re: NRA Fucks Up Bigtime"	"0"	"1"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Bill 'Blame America First' Clinton Strikes Again."	"0"	"0"
"Re: Fwd: FREE NRA MEMBERSHIP OFFER"	"0"	"0"
"Re: the usual"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Bill 'Blame America First' Clinton Strikes Again."	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: A universal RIGHT to bear arms? NOT!"	"0"	"1"
"Re: Gov't break-ins (Re: 60 minutes)"	"0"	"1"
"Re: a universal RIGHT to bear arms? NOT!"	"0"	"1"
"Re: Gov't break-ins (Re: 60 minutes)"	"0"	"1"
"<None>"	"0"	"0"
"Re: the usual"	"0"	"1"
"Re: Waco dates - are these coincidental?"	"0"	"1"
"Questions to Ponder"	"0"	"7"
"Re: Gun Control: proud to be a Canuck"	"0"	"1"
"Re: Flamage  (was Janet Reno)"	"0"	"1"
"Re: the usual"	"0"	"0"
"Re: the usual"	"0"	"1"
"Re: Gov't break-ins (Re: 60 minutes)"	"0"	"1"
"Re: RKBA on NYC radio station"	"0"	"5"
"Re: Enforcement of Early Common Law"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Armed Citizen - April '93"	"0"	"0"
"Re: Founding Father questions"	"0"	"7"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: the usual"	"0"	"0"
"Re: Statement of Sarah Brady Regarding Texas State Carrying Concealed Legislation"	"0"	"0"
"Re: What is a cop's *primary* duty?"	"0"	"0"
"Re: What if the Dividians were black?"	"0"	"1"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Nazi memoribilia"	"0"	"1"
"Re: Nazi memoribilia"	"0"	"1"
"National Crime Survey"	"0"	"0"
"Re: Do they really believe?"	"0"	"0"
"Re: Gun Control: proud to be a Canuck"	"0"	"1"
"Re: Gun Control: proud to be a Canuck"	"0"	"1"
"Re: Gun Control"	"0"	"0"
"Re: Another NYTimes Yellow-Sheet Editorial (4/4/93)"	"0"	"1"
"Re: My Gun is like my American Express Card"	"0"	"0"
"Letter to a Liberal Colleague -- L. Neil Smith"	"0"	"0"
"Re: Ban All Firearms !"	"0"	"1"
"Re: That silly outdated Bill (was Re: Koresh and Miranda)"	"0"	"1"
"Re: My Gun is like my American Express Card"	"0"	"0"
"Re: My Gun is like my American Express Card"	"0"	"0"
"Re: Ban All Firearms !"	"0"	"1"
"Re: The 'pill' for Deer = No Hunting"	"0"	"1"
"Re: Non-lethal alternatives to handguns?"	"0"	"1"
"Re: My Gun is like my American Express Card"	"0"	"0"
"Re: My Gun is like my American Express Card"	"0"	"0"
"Re: The 'pill' for Deer = No Hunting"	"0"	"1"
"Re: My Gun is like my American Express Card"	"0"	"0"
"Re: That silly outdated Bill (was Re: Koresh and Miranda)"	"0"	"1"
"Re: The 'pill' for Deer = No Hunting"	"0"	"1"
"Re: Ban All Firearms !"	"0"	"1"
"Re: Non-lethal alternatives to handguns?"	"0"	"1"
"Re: The 'pill' for Deer = No Hunting"	"0"	"1"
"Re: With Friends Like The"	"0"	"5"
"Re: My turn"	"0"	"2"
"Re: Ban All Firearms !"	"0"	"1"
"Re: My Gun is like my American Express Card"	"0"	"0"
"Newspapers censoring gun advertisements"	"0"	"0"
"Re: My Gun is like my American Express Card"	"0"	"0"
"Re: Ban All Firearms !"	"0"	"1"
"Re: Ban All Firearms !"	"0"	"1"
"Re: My Gun is like my American Express Card"	"0"	"0"
"Re: My Gun is like my American Express Card"	"0"	"0"
"Re: Ban All Firearms !"	"0"	"1"
"Re: ""Proper gun control?"" What is proper gun control? (was Re: My Gun is like my American Express Card)"	"0"	"0"
"Re: The 'pill' for Deer = No Hunting"	"0"	"1"
"Re: Some more about gun control..."	"0"	"0"
"Re: My Gun is like my American Express Card"	"0"	"1"
"Re: Clinton wants National ID card, aka USSR-style ""Internal Passport"""	"0"	"7"
"Re: Some more about gun control..."	"0"	"1"
"Re: ""militia"" (incredibly long)"	"0"	"1"
"Re: FYI - BATF reply on Waco"	"0"	"5"
"Re: Non-lethal alternatives to handguns?"	"0"	"1"
"Re: Gun Lovers (was Re: My Gun is like my American Express Card)"	"0"	"1"
"Re: Gun Lovers (was Re: My Gun is like my American Express Card)"	"0"	"0"
"Re: The 'pill' for Deer = No Hunting"	"0"	"1"
"Re: guns in backcountry? no thanks"	"0"	"1"
"Re: My Gun is like my...."	"0"	"0"
"Reminder -- Denver Rally Tomorrow"	"0"	"0"
"Re: ""militia"" (incredibly long)"	"0"	"1"
"Re: My Gun is like my...."	"0"	"0"
"Re: guns in backcountry? no thanks"	"0"	"1"
"Re: guns in backcountry? no thanks"	"0"	"6"
"Re: Some more about gun control..."	"0"	"1"
"Re: guns in backcountry? no thanks"	"0"	"1"
"CNN for sale"	"0"	"0"
"Re: Carrying Arms"	"0"	"1"
"Re: My Gun is like my...."	"0"	"0"
"Re: Guns GONE. Good Riddance !"	"0"	"1"
"Re: My Gun is like my American Express Card"	"0"	"0"
"Re: What to do if you shoot somebody"	"0"	"0"
"Re: Guns GONE. Good Riddance !"	"0"	"1"
"Re: 2ND AMENDMENT DEAD - GOOD !"	"0"	"1"
"Re: My Gun is like my American Express Card"	"0"	"0"
"Re: What to do if you shoot somebody"	"0"	"0"
"Re: Tanks against civilians (was Re: That silly outdated Bill/Koresh)"	"0"	"1"
"Re: Guns GONE. Good Riddance !"	"0"	"1"
"Re: 2%: We're undertaxed/Poll"	"0"	"1"
"Randy Weaver trial update: Day 4."	"0"	"2"
"Randy Weaver trial update: Day 1."	"0"	"1"
"S414 (Brady bill) loopholes?"	"0"	"0"
"Re: 2ND AMENDMENT DEAD - GOOD !"	"0"	"1"
"Re: Guns GONE. Good Riddance !"	"0"	"1"
"Re: My Gun is like my American Express Card"	"0"	"0"
"Re: What to do if you shoot somebody"	"0"	"0"
"Re: What to do if you shoot somebody"	"0"	"0"
"Re: My Gun is like my...."	"0"	"0"
"CDN gun laws"	"0"	"0"
"sign of the times..."	"0"	"0"
"Re: 2ND AMENDMENT DEAD - GOOD !"	"0"	"1"
"Ohio House Bill 278 (Otto Beatty's military weapons ban)"	"0"	"0"
"Re: Guns GONE. Good Riddance !"	"0"	"1"
"Re: 2ND AMENDMENT DEAD - GOOD !"	"0"	"0"
"Re: Proof of the Viability of Gun Control"	"0"	"1"
"Re: CNN for sale"	"0"	"0"
"Re: guns in backcountry? no thanks"	"0"	"1"
"Re: Guns GONE. Good Riddance !"	"0"	"0"
"Re: 2ND AMENDMENT DEAD - GOOD !"	"0"	"1"
"Re: BATF/FBI Murders Almost Everyone in Waco Today! 4/19"	"0"	"1"
"Letter to the President"	"0"	"1"
"Re: Insane Gun-toting Wackos Unite!!!"	"0"	"0"
"Re: ""Proper gun control?"" What is proper gun control?"	"0"	"0"
"Re: The 'pill' for Deer = No Hunting"	"0"	"1"
"Re: Clinton wants National ID card, aka USSR-style ""Internal Passport"""	"0"	"7"
"Re: My Gun is like my American Express Card"	"0"	"0"
"Re: Non-lethal alternatives to handguns?"	"0"	"1"
"Don't knock the Glock (was Re: My Gun is like my Am Ex Card)"	"0"	"1"
"Re: sex education"	"1"	"2"
"re: technology"	"1"	"1"
"Does God love you?"	"1"	"2"
"quality of Catholic liturgy"	"1"	"2"
"Re: Prayer in Jesus' Name"	"1"	"2"
"Re: Revelations"	"1"	"2"
"Re: Sin"	"1"	"2"
"Re: Opinions asked about rejection"	"1"	"2"
"Re: Prophetic Warning to New York City"	"1"	"2"
"Re: christians and aids"	"1"	"2"
"Anybody out there?"	"1"	"1"
"Re: DID HE REALLY RISE???"	"1"	"2"
"Questions from a newbie"	"1"	"2"
"Re: Prophetic Warning to New York City"	"1"	"2"
"Re: Ancient Books"	"1"	"2"
"Re: Is ""Christian"" a dirty word?"	"1"	"2"
"Re: The arrogance of Christians"	"1"	"2"
"""Accepting Jeesus in your heart..."""	"1"	"2"
"Re: The arrogance of Christians"	"1"	"2"
"Re: technology"	"1"	"3"
"Re: post"	"1"	"2"
"re: Pantheism and Environmentalism"	"1"	"2"
"Easter: what's in a name? (was Re: New Testament Double Standard?"	"1"	"2"
"Re: sex education"	"1"	"2"
"Weirdness of Early Christians"	"1"	"2"
"Re: Hell"	"1"	"2"
"Legitimate bawdy humor; was: Re: sex education - it's a joke !"	"1"	"2"
"Re: Easter: what's in a name? (was Re: New Testament Double Standard?"	"1"	"2"
"WITNESS & PROOF OF CHRIST'S RESURRECTION"	"1"	"2"
"Re: quality of Catholic liturgy"	"1"	"2"
"Re: christians and aids"	"1"	"2"
"Re: christians and aids"	"1"	"2"
"Re: Pantheism & Environmentalism"	"1"	"2"
"Re: Prayer in Jesus' Name"	"1"	"2"
"Re: Easter: what's in a name? (was Re: New Testament Double Standard?"	"1"	"2"
"Re: ""Accepting Jeesus in your heart..."""	"1"	"2"
"Re: Reason vs. Revelation"	"1"	"2"
"Re: Revelations"	"1"	"2"
"Re: Unity"	"1"	"2"
"Re: Weirdness of Early Christians"	"1"	"2"
"Pantheism & Environmentalism"	"1"	"2"
"Re: Ancient Books"	"1"	"2"
"Re: Prayer in Jesus' Name"	"1"	"2"
"THE EMPTY TOMB..."	"1"	"2"
"Re: old vs. new testament"	"1"	"2"
"Re: Pantheism & Environmentalism"	"1"	"2"
"Re: Opinions asked about rejection"	"1"	"2"
"Re: The arrogance of Christians"	"1"	"2"
"Re: The arrogance of Christians"	"1"	"2"
"Re: Pantheism & Environmentalism"	"1"	"2"
"Re: ""Accepting Jeesus in your heart..."""	"1"	"2"
"Re: Prophetic Warning to New York City"	"1"	"2"
"Ethics vs. Freedom"	"1"	"2"
"Re: Revelations"	"1"	"2"
"Re: Easter: what's in a name? (was Re: New Testament Double Standard?"	"1"	"2"
"Catholic Liturgy"	"1"	"2"
"-= Hell =-"	"1"	"2"
"Re: The arrogance of Christians"	"1"	"2"
"Re: DID HE REALLY RISE???"	"1"	"2"
"Re: DID HE REALLY RISE???"	"1"	"2"
"Re: Can sin ""block"" our prayers?"	"1"	"2"
"Atheist's views on Christianity (was: Re: ""Accepting Jeesus in your heart..."")"	"1"	"2"
"Re: The arrogance of Christians"	"1"	"2"
"Re: Prophecy on NYC"	"1"	"2"
"RFD: soc.religion.islam.ahmadiyya moderated"	"1"	"2"
"Re: The arrogance of Christians"	"1"	"2"
"RE: Does God love you?"	"1"	"2"
"quality of Catholic liturgy"	"1"	"2"
"""Accepting Jeesus in your heart..."""	"1"	"2"
"Re: Every Lent He suffers to save us"	"1"	"2"
"Re: Atheist's views on Christianity (was: Re: ""Accepting Jeesus in your heart..."")"	"1"	"2"
"Weirdness of Early Christians"	"1"	"2"
"Re: The arrogance of Christians"	"1"	"2"
"Greek Wordprocessor/Database."	"1"	"3"
"Re: The arrogance of Christians"	"1"	"2"
"Re: quality of Catholic liturgy"	"1"	"2"
"Certainty and Arrogance"	"1"	"2"
"Re: The arrogance of Christians"	"1"	"2"
"Re: Prayer in Jesus' Name"	"1"	"2"
"Nature of God (Re: Environmentalism and paganism)"	"1"	"2"
"Re: ""Accepting Jeesus in your heart..."""	"1"	"2"
"Re: Questions from a newbie"	"1"	"2"
"Re: Eternity of Hell (was Re: Hell)"	"1"	"2"
"SSPX schism ?"	"1"	"2"
"Re: Easter: what's in a name? (was Re: New Testament Double Stan"	"1"	"2"
"'Easter' not derived from 'Ishtar'"	"1"	"2"
"Re: Easter: what's in a name? (was Re: New Testament Double Stan"	"1"	"2"
"Re: Easter: what's in a name? (was Re: New Testament Double Stan"	"1"	"2"
"proof of resurection"	"1"	"2"
"Re: The arrogance of Christians"	"1"	"2"
"Re: ""Accepting Jeesus in your heart..."""	"1"	"2"
"Clarification: Easter"	"1"	"2"
"Re: Eternity of Hell (was Re: Hell)"	"1"	"2"
"Re: A question that has bee bothering me."	"1"	"2"
"Re: Ancient Books"	"1"	"2"
"Re: The arrogance of Christians"	"1"	"2"
"Re: Atheist's views on Christianity (was: Re: ""Accepting Jeesus in your heart..."")"	"1"	"2"
"Re: The arrogance of Christians"	"1"	"7"
"Re: SSPX schism ?"	"1"	"2"
"Re: Pantheism & Environmentalism"	"1"	"2"
"Re: quality of Catholic liturgy"	"1"	"2"
"NATIONAL DAY Of PRAYER"	"1"	"2"
"Christianity & Atheism:  an update"	"1"	"2"
"Re: Nature of God (Re: Environmentalism and paganism)"	"1"	"2"
"Re: Certainty and Arrogance"	"1"	"2"
"Re: Can sin ""block"" our prayers?"	"1"	"2"
"Re: The arrogance of Christians"	"1"	"2"
"ONLINE BIBLE as bible study"	"1"	"2"
"Re: The arrogance of Christians"	"1"	"2"
"Re: DID HE REALLY RISE???"	"1"	"2"
"Re: Eternity of Hell (was Re: Hell)"	"1"	"2"
"Re: Prophetic Warning to New York City"	"1"	"2"
"Re: Certainty and Arrogance"	"1"	"2"
"Some questions from a new Christian"	"1"	"2"
"Re: Sabbath Admissions 5of5"	"1"	"2"
"Re: DID HE REALLY RISE???"	"1"	"2"
"John 3:16 paraphrased"	"1"	"2"
"Re: Certainty and Arrogance"	"1"	"2"
"WBT (WAS: Re: phone number of wycliffe translators UK)"	"1"	"2"
"Re: An agnostic's question"	"1"	"2"
"Religious wars"	"1"	"2"
"Re: Hell_2:  Black Sabbath"	"1"	"1"
"Re: phone number of wycliffe translators UK"	"1"	"2"
"Re: ""Accepting Jesus in your heart..."""	"1"	"2"
"Re: The arrogance of Christians"	"1"	"2"
"Re: Atheist's views on Christianity (was: Re: ""Accepting Jeesus in your heart..."")"	"1"	"1"
"Revelations - BABYLON?"	"1"	"2"
"Doing the work of God??!!)"	"1"	"2"
"Re: The arrogance of Christians"	"1"	"2"
"CALL FOR PRESENTATIONS: Navy SciViz/VR Seminar"	"2"	"3"
"Re: DMORPH"	"2"	"3"
"Re: 16 million vs 65 thousand colors"	"2"	"4"
"Searching for Public Domain Brain & Neuron Databases"	"2"	"3"
"The HumBio Project-- call for data and visualizations"	"2"	"3"
"Re: More gray levels out of the screen"	"2"	"3"
"Re: Rumours about 3DO ???"	"2"	"5"
"Re: BW hardcopy of colored window?"	"2"	"3"
"Re: Real Time Graphics??"	"2"	"3"
"RE: VESA on the Speedstar 24"	"2"	"3"
"Surface normal orientations"	"2"	"6"
"Re: Graphics Library Package"	"2"	"3"
"Re: Surface normal orientations"	"2"	"5"
"Re: Surface normal orientations"	"2"	"5"
"Re: 16 million vs 65 thousand colors"	"2"	"3"
"Re: Fractals? what good are they?"	"2"	"1"
"Re: QuickTime movie available"	"2"	"3"
"Re: forms for curses"	"2"	"4"
"Re: Trying to view POV files....."	"2"	"3"
"HOT NEW 3D Software"	"2"	"3"
"Re: HOT NEW 3D Software"	"2"	"3"
"Re: VGA 640x400 graphics mode"	"2"	"7"
"Apr 20 Toronto Siggraph Event"	"2"	"3"
"Re: Delaunay Triangulation"	"2"	"3"
"Re: Trying to view POV files....."	"2"	"3"
"Re: looking for circle algorithm faster than Bresenhams"	"2"	"3"
"Polygon Reduction for Marching Cubes"	"2"	"7"
"dmpeg10.zip info: Another DOS MPEG decoder/player posted"	"2"	"4"
"Re: looking for circle algorithm faster than Bresenhams"	"2"	"3"
"Re: Point within a polygon"	"2"	"3"
"Re: Point within a polygon"	"2"	"3"
"Re: Two pointing devices in one COM-port?"	"2"	"1"
"Re: TIFF: philosophical significance of 42"	"2"	"3"
"Re: Hollywood Hits, Virtual Reality"	"2"	"3"
"Re: Point within a polygon"	"2"	"3"
"Virtual Reality for X on the CHEAP!"	"2"	"4"
"Re: Crimson (Was: Kubota Announcement?)"	"2"	"3"
"JOB"	"2"	"3"
"Re: SIGGRAPH"	"2"	"3"
"Re: Please Recommend 3D Graphics Library For M"	"2"	"3"
"Micro World Data Bank II ?"	"2"	"3"
"SGI sales practices (Was: Crimson (Was: Kubota Announcement?))"	"2"	"3"
"Re: Please Recommend 3D Graphics Library For Mac."	"2"	"3"
"Re: Fonts in POV??"	"2"	"4"
"Re: PCX"	"2"	"3"
"Need help with Mitsubishi P78U image printer"	"2"	"3"
"Re: Rumours about 3DO ???"	"2"	"3"
"Re: SGI sales practices (Was: Crimson (Was: Kubota Announcement?))"	"2"	"3"
"[POV] Having trouble bump mapping a gif to a sphere"	"2"	"4"
"Program Included: 2 Edge Detection Algorithms!"	"2"	"4"
"Re: Virtual Reality for X on the CHEAP!"	"2"	"3"
"VGA Mode 13h Routines Available"	"2"	"3"
"Re: Sphere from 4 points?"	"2"	"6"
"Re: Sphere from 4 points?"	"2"	"6"
"Re: Stay Away from MAG Innovision!!!"	"2"	"1"
"Cobra 2.0 1-b-1 Video card HELP ME!!!!"	"2"	"7"
"Re: Sphere from 4 points?"	"2"	"6"
"Re: VGA 640x400 graphics mode"	"2"	"7"
"CView answers"	"2"	"3"
"How do I compensate for photographic viewpoint and distortion?"	"2"	"3"
"Re: Sphere from 4 points?"	"2"	"6"
"So what is the fastest Windows video card for graphics and imaging ?"	"2"	"7"
"Re: So what is the fastest Windows video card for graphics and imaging ?"	"2"	"7"
"Re: A Book I found... graphics"	"2"	"3"
"Re: So what is the fastest Windows video card for graphics and imaging ?"	"2"	"7"
"VESA standard VGA/SVGA programming???"	"2"	"3"
"Re: Stay Away from MAG Innovision!!!"	"2"	"1"
"Point within a polygon "	"2"	"3"
"Re: VESA standard VGA/SVGA programming???"	"2"	"3"
"Questions about Plane Eqn method of Hidden Surface removal"	"2"	"3"
"Reprints"	"2"	"3"
"10th International Obfuscated C Code Contest Opening (1 of 2)"	"3"	"4"
"10th International Obfuscated C Code Contest Opening (part 2 of 2)"	"3"	"4"
"X on Intel-based Unix Frequently Asked Questions [FAQ]"	"3"	"4"
"comp.windows.x.intrinsics Frequently Asked Questions (FAQ)"	"3"	"4"
"Re: TeleUse, UIM/X, and C++"	"3"	"4"
"converting color gif to X pixmap"	"3"	"4"
"Reposting: 10th International Obfuscated C Code Contest rules (1 of 2)"	"3"	"4"
